Chapter Number,Title,Authors
1,Introduction and Overview,"Lars Kotthoff, Raphael Sonabend, Natalie Foss, Bernd Bischl"
2,Data and Basic Modeling,"Natalie Foss, Lars Kotthoff"
3,Evaluation and Benchmarking,"Giuseppe Casalicchio, Lukas Burk"
4,Hyperparameter Optimization,"Marc Becker, Lennart Schneider"
5,Feature Selection,Marvin N. Wright
6,Advanced Tuning Methods and Black Box Optimization,"Marc Becker, Lennart Schneider"
7,Pipelines,TODO
8,Preprocessing,Janek Thomas
9,Beyond Regression and Classification,"Raphael Sonabend, Patrick Schratz, Damir Pulatov"
10,Algorithmic Fairness,Florian Pfisterer
11,Model Interpretation,Przemysław Biecek
12,Advanced Technical Aspects of mlr3,Michel Lang
13,Large-Scale Benchmarking,Sebastian Fischer
