"Sale_Price","Alley","Bedroom_AbvGr","Bldg_Type","Bsmt_Cond","Bsmt_Exposure","Bsmt_Full_Bath","Bsmt_Half_Bath","Bsmt_Qual","Bsmt_Unf_SF","BsmtFin_SF_1","BsmtFin_SF_2","BsmtFin_Type_1","BsmtFin_Type_2","Central_Air","Condition_1","Condition_2","Condition_3","Electrical","Enclosed_Porch","Exter_Cond","Exter_Qual","Exterior_1st","Exterior_2nd","Fence","Fireplace_Qu","Fireplaces","First_Flr_SF","Foundation","Full_Bath","Functional","Garage_Area","Garage_Cars","Garage_Cond","Garage_Finish","Garage_Qual","Garage_Type","Garage_Yr_Blt","Gr_Liv_Area","Half_Bath","Heating","Heating_QC","House_Style","Kitchen_AbvGr","Land_Contour","Land_Slope","Lot_Area","Lot_Area_m2","Lot_Config","Lot_Frontage","Lot_Shape","Low_Qual_Fin_SF","Mas_Vnr_Area","Mas_Vnr_Type","Misc_Feature","Misc_Feature_2","Misc_Val","Mo_Sold","MS_SubClass","MS_Zoning","Neighborhood","Open_Porch_SF","Overall_Cond","Overall_Qual","Paved_Drive","Pool_Area","Pool_QC","Roof_Matl","Roof_Style","Sale_Condition","Sale_Type","Screen_Porch","Second_Flr_SF","Street","Three_season_porch","Total_Bsmt_SF","TotRms_AbvGrd","Utilities","Wood_Deck_SF","Year_Built","Year_Remod_Add","Year_Sold"
215000,NA,3,"OneFam","Good","Gd",1,0,"Typical",441,639,0,"BLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","BrkFace","Plywood",NA,"Good",2,1656,"CBlock",1,"Typ",528,2,"Typical","Fin","Typical","Attchd",1960,1656,0,"GasA","Fair","One_Story",1,"Lvl","Gtl",31770,2951.52831,"Corner",141,"Slightly_Irregular",0,112,"Stone",NA,"Othr",0,5,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",62,"Average","Above_Average","Partial_Pavement",0,NA,"CompShg","Hip","Normal","WD ",0,0,"Pave",0,1080,7,"AllPub",210,1960,1960,2010
105000,NA,2,"OneFam","Typical","No",0,0,"Typical",270,468,144,"Rec","LwQ","Y","Feedr","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd","Minimum_Privacy",NA,0,896,"CBlock",1,"Typ",730,1,"Typical","Unf","Typical","Attchd",1961,896,0,"GasA","Typical","One_Story",1,"Lvl","Gtl",11622,1079.718666,"Inside",80,"Regular",0,0,"None",NA,"Othr",0,6,"One_Story_1946_and_Newer_All_Styles","Residential_High_Density","North_Ames",0,"Above_Average","Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",120,0,"Pave",0,882,5,"AllPub",140,1961,1961,2010
172000,NA,3,"OneFam","Typical","No",0,0,"Typical",406,923,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","Wd Sdng","Wd Sdng",NA,NA,0,1329,"CBlock",1,"Typ",312,1,"Typical","Unf","Typical","Attchd",1958,1329,1,"GasA","Typical","One_Story",1,"Lvl","Gtl",14267,1325.447101,"Corner",81,"Slightly_Irregular",0,108,"BrkFace","Gar2","Othr",12500,6,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",36,"Above_Average","Above_Average","Paved",0,NA,"CompShg","Hip","Normal","WD ",0,0,"Pave",0,1329,6,"AllPub",393,1958,1958,2010
244000,NA,3,"OneFam","Typical","No",1,0,"Typical",1045,1065,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","BrkFace","BrkFace",NA,"Typical",2,2110,"CBlock",2,"Typ",522,2,"Typical","Fin","Typical","Attchd",1968,2110,1,"GasA","Excellent","One_Story",1,"Lvl","Gtl",11160,1036.79748,"Corner",93,"Regular",0,0,"None",NA,"Othr",0,4,"One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","North_Ames",0,"Average","Good","Paved",0,NA,"CompShg","Hip","Normal","WD ",0,0,"Pave",0,2110,8,"AllPub",0,1968,1968,2010
189900,NA,3,"OneFam","Typical","No",0,0,"Good",137,791,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd","Minimum_Privacy","Typical",1,928,"PConc",2,"Typ",482,2,"Typical","Fin","Typical","Attchd",1997,1629,1,"GasA","Good","Two_Story",1,"Lvl","Gtl",13830,1284.84849,"Inside",74,"Slightly_Irregular",0,0,"None",NA,"Othr",0,3,"Two_Story_1946_and_Newer","Residential_Low_Density","Gilbert",34,"Average","Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,701,"Pave",0,928,6,"AllPub",212,1997,1998,2010
195500,NA,3,"OneFam","Typical","No",0,0,"Typical",324,602,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd",NA,"Good",1,926,"PConc",2,"Typ",470,2,"Typical","Fin","Typical","Attchd",1998,1604,1,"GasA","Excellent","Two_Story",1,"Lvl","Gtl",9978,926.986134,"Inside",78,"Slightly_Irregular",0,20,"BrkFace",NA,"Othr",0,6,"Two_Story_1946_and_Newer","Residential_Low_Density","Gilbert",36,"Above_Average","Above_Average","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,678,"Pave",0,926,7,"AllPub",360,1998,1998,2010
213500,NA,2,"TwnhsE","Typical","Mn",1,0,"Good",722,616,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",170,"Typical","Good","CemntBd","CmentBd",NA,NA,0,1338,"PConc",2,"Typ",582,2,"Typical","Fin","Typical","Attchd",2001,1338,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",4920,457.08276,"Inside",41,"Regular",0,0,"None",NA,"Othr",0,4,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Stone_Brook",0,"Average","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1338,6,"AllPub",0,2001,2001,2010
191500,NA,2,"TwnhsE","Typical","No",0,0,"Good",1017,263,0,"ALQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","HdBoard","HdBoard",NA,NA,0,1280,"PConc",2,"Typ",506,2,"Typical","RFn","Typical","Attchd",1992,1280,0,"GasA","Excellent","One_Story",1,"HLS","Gtl",5005,464.979515,"Inside",43,"Slightly_Irregular",0,0,"None",NA,"Othr",0,1,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Stone_Brook",82,"Average","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",144,0,"Pave",0,1280,5,"AllPub",0,1992,1992,2010
236500,NA,2,"TwnhsE","Typical","No",1,0,"Good",415,1180,0,"GLQ","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Good","CemntBd","CmentBd",NA,"Typical",1,1616,"PConc",2,"Typ",608,2,"Typical","RFn","Typical","Attchd",1995,1616,0,"GasA","Excellent","One_Story",1,"Lvl","Gtl",5389,500.654267,"Inside",39,"Slightly_Irregular",0,0,"None",NA,"Othr",0,3,"One_Story_PUD_1946_and_Newer","Residential_Low_Density","Stone_Brook",152,"Average","Very_Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,0,"Pave",0,1595,5,"AllPub",237,1995,1996,2010
189000,NA,3,"OneFam","Typical","No",0,0,"Typical",994,0,0,"Unf","Unf","Y","Norm","Norm","Norm","SBrkr",0,"Typical","Typical","VinylSd","VinylSd",NA,"Typical",1,1028,"PConc",2,"Typ",442,2,"Typical","Fin","Typical","Attchd",1999,1804,1,"GasA","Good","Two_Story",1,"Lvl","Gtl",7500,696.7725,"Inside",60,"Regular",0,0,"None",NA,"Othr",0,6,"Two_Story_1946_and_Newer","Residential_Low_Density","Gilbert",60,"Average","Good","Paved",0,NA,"CompShg","Gable","Normal","WD ",0,776,"Pave",0,994,7,"AllPub",140,1999,1999,2010
